Type,Epoch,Dropout 1.0
Test PPL,40,359.9761199552709
Training PPL,1,95.25048765614764
Training PPL,2,70.55160736899383
Training PPL,3,67.1660029195625
Training PPL,4,65.76108510813822
Training PPL,5,64.9867920852807
Training PPL,6,64.49863668023298
Training PPL,7,64.16503431708263
Training PPL,8,63.92412502828584
Training PPL,9,63.74309343173249
Training PPL,10,63.602946485954305
Training PPL,11,63.491899608103246
Training PPL,12,63.1507274599603
Training PPL,13,63.08885950174843
Training PPL,14,63.063819077962854
Training PPL,15,62.996431329500815
Training PPL,16,62.97232450748378
Training PPL,17,62.9641635498121
Training PPL,18,62.95803511982849
Training PPL,19,62.94037369989336
Training PPL,20,62.93233271552241
Training PPL,21,62.929477773999814
Training PPL,22,62.92766056945345
Training PPL,23,62.926135670465534
Training PPL,24,62.92473562849085
Training PPL,25,62.9177556868487
Training PPL,26,62.917137058468754
Training PPL,27,62.916605438939776
Training PPL,28,62.91614252559323
Training PPL,29,62.91575041695238
Training PPL,30,62.91536641085852
Training PPL,31,62.91500640727418
Training PPL,32,62.914655705763266
Training PPL,33,62.914325706126725
Training PPL,34,62.914008008111985
Training PPL,35,62.91199745787867
Training PPL,36,62.91190746160879
Training PPL,37,62.91181686549382
Training PPL,38,62.911733469185435
Training PPL,39,62.91165547273806
Training PPL,40,62.91156127715742
Validation PPL,1,413.85542430358004
Validation PPL,2,371.28646125846905
Validation PPL,3,358.1379237485022
Validation PPL,4,352.0879644281017
Validation PPL,5,348.88904618472884
Validation PPL,6,347.0958170021817
Validation PPL,7,346.07626038585545
Validation PPL,8,345.51785221051296
Validation PPL,9,345.25019818641005
Validation PPL,10,345.1735251197977
Validation PPL,11,345.2258137755948
Validation PPL,12,342.4968604764197
Validation PPL,13,342.4607289470919
Validation PPL,14,342.47878060663504
Validation PPL,15,341.92472321524815
Validation PPL,16,341.8453194226484
Validation PPL,17,341.8298606004132
Validation PPL,18,341.8340753691356
Validation PPL,19,341.75673189703434
Validation PPL,20,341.73816817966434
Validation PPL,21,341.73022825237246
Validation PPL,22,341.7267136186908
Validation PPL,23,341.72562075732515
Validation PPL,24,341.726189063719
Validation PPL,25,341.72306776543854
Validation PPL,26,341.720846595239
Validation PPL,27,341.71933066432666
Validation PPL,28,341.7181115391195
Validation PPL,29,341.7172913812913
Validation PPL,30,341.7167365697592
Validation PPL,31,341.71636314852327
Validation PPL,32,341.71609709500996
Validation PPL,33,341.7160635131591
Validation PPL,34,341.7161495962203
Validation PPL,35,341.71595449041223
Validation PPL,36,341.71588827270887
Validation PPL,37,341.71577499316714
Validation PPL,38,341.7156338076533
Validation PPL,39,341.71558627284526
Validation PPL,40,341.71556049526555
